category,manufacturer,name,price,imageUrl
turntable,Rega,Planar 6,1925.00,/assets/products/Rega-Planar-6.webp
turntable,Pro-Ject,T1 EVO Phono,599.00,/assets/products/ProJect-T1-EVO-Phono.webp
turntable,Denon,DP-450USB,719.00,/assets/products/Denon-DP-450USB.webp
turntable,Pioneer,PL-30-K,299.00,/assets/products/Pioneer-PL-30-K.webp
turntable,Music Hall,MMF-2.3,499.00,/assets/products/Music-Hall-MMF-2.3.webp
turntable,NAD,C588,1199.00,/assets/products/NAD-C588.webp
turntable,Lenco,LBT-335,299.00,/assets/products/Lenco-LBT-335.jpg
turntable,Pro-Ject,Debut PRO B,1088.00,/assets/products/ProJect-Debut-PRO-B.webp
turntable,Dual,CS518,800.00,/assets/products/Dual-CS518.webp
turntable,Technics,SL-1210GR,1799.00,/assets/products/Technics-SL-1210GR.webp
