category,artist,title,price,imageUrl
vinyl,Pink Floyd,Animals,36.99,/assets/products/pf-animals.jpg
vinyl,Black Sabbath,Vol. 4,31.99,/assets/products/black-sabbath-vol4.jpg
vinyl,The Beatles,Abbey Road,38.99,/assets/products/beatles-abbey-road.jpg
vinyl,Led Zeppelin,IV,34.99,/assets/products/led-zeppelin-iv.jpg
vinyl,King Crimson,In the Court of the Crimson King,39.99,/assets/products/king-crimson-in-the-court.jpg
vinyl,AC/DC,Let There Be Rock,29.99,/assets/products/acdc-let-there-be-rock.jpg
vinyl,Thin Lizzy,Jailbreak,32.99,/assets/products/thin-lizzy-jailbreak.jpg
vinyl,Deep Purple,Machine Head,33.99,/assets/products/deep-purple-machine-head.jpg
vinyl,Rolling Stones,Sticky Fingers,35.99,/assets/products/rolling-stones-sticky-fingers.jpg
vinyl,Dire Straits,Making Movies,33.99,/assets/products/dire-straits-making-movies.jpg
